GROUPE LACTALIS	53000	LAVAL	2 843 593 034 €
BOULANGER	59810	LESQUIN	2 830 247 991 €
TOTAL PETROCHEMICALS FRANCE	92400	COURBEVOIE	2 827 919 952 €
MEUBLES IKEA FRANCE	78370	PLAISIR	2 803 014 900 €
ITM ALIMENTAIRE CENTRE EST	75015	PARIS 15E ARRONDISSEMENT	2 802 713 774 €
ITM ALIMENTAIRE SUD EST	75015	PARIS 15	2 790 918 762 €
AS 24	44800	ST HERBLAIN	2 759 254 193 €
AUTOROUTES DU SUD DE LA FRANCE	92500	Rueil-Malmaison	2 692 000 000 €
SAMSUNG ELECTRONICS FRANCE	93400	ST OUEN SUR SEINE	2 661 424 851 €
BMW FRANCE	78180	MONTIGNY LE BRETONNEUX	2 616 986 918 €
MICROSOFT FRANCE	92130	ISSY LES MOULINEAUX	2 589 932 671 €
TOYOTA MOTOR MANUFACTURING FRANCE	59264	ONNAING	2 587 033 919 €
CASTORAMA FRANCE	59175	TEMPLEMARS	2 584 434 361 €
SODIAAL UNION	75014	PARIS 14	2 553 395 365 €
FREE MOBILE	75008	PARIS 08	2 539 883 000 €
ITM ALIMENTAIRE SUD OUEST	75015	PARIS 15	2 511 302 144 €
CAPGEMINI TECHNOLOGY SERVICES	92130	ISSY LES MOULINEAUX	2 507 872 000 €
THEVENIN DUCROT DISTRIBUTION	21800	CHEVIGNY SAINT SAUVEUR	2 506 150 394 €
SCHNEIDER ELECTRIC FRANCE	92500	RUEIL MALMAISON	2 441 972 916 €
REXEL FRANCE	75017	PARIS 17	2 432 997 052 €
TECH DATA FRANCE	77600	BUSSY ST GEORGES	2 426 046 974 €
ARKEMA FRANCE	92700	Colombes	2 386 000 000 €
SANOFI PASTEUR	69007	LYON 07	2 376 000 000 €
LOGISTA FRANCE	94300	VINCENNES	2 350 495 072 €
CDISCOUNT	33300	BORDEAUX	2 339 188 454 €
SOCIETE MECANIQUE AUTOMOBILE DE L'EST	57300	TREMERY	2 332 636 935 €
BRICO DEPOT	91310	LONGPONT SUR ORGE	2 313 305 409 €
SAIPOL	75008	PARIS 8	2 303 502 549 €
DELL	34000	MONTPELLIER	2 294 470 128 €
LES LABORATOIRES SERVIER	92150	SURESNES	2 283 819 400 €
TOYOTA FRANCE	92420	VAUCRESSON	2 279 862 362 €
MBDA FRANCE	92350	LE PLESSIS ROBINSON	2 262 646 825 €
ENGIE ENERGIE SERVICES	92800	PUTEAUX	2 259 234 000 €
ROBERT BOSCH FRANCE	93400	ST OUEN SUR SEINE	2 239 181 276 €
ITM ALIMENTAIRE REGION PARISIENNE	75015	PARIS 15	2 207 926 000 €
SOCIETE COOPERATIVE AGRICOLE ET AGRO-ALIMENTAIRE AGRIAL	14000	CAEN	2 207 037 131 €
POMONA	92160	Antony	2 200 809 894 €
SHV GAS SUPPLY & RISK MANAGEMENT	92400	COURBEVOIE	2 184 006 057 €
UBISOFT ENTERTAINMENT	56910	CARENTOIR	2 176 900 000 €
ITM ALIMENTAIRE OUEST	75015	PARIS 15	2 174 784 479 €
RANDSTAD	93200	ST DENIS	2 167 161 360 €
NOVARTIS PHARMA SAS	92500	RUEIL MALMAISON	2 161 437 965 €
CONFRATERNELLE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE R	90000	BELFORT	2 145 283 118 €
CHANEL	92200	NEUILLY SUR SEINE	2 144 572 017 €
APERAM STAINLESS EUROPE	93210	ST DENIS	2 142 211 800 €
BUT INTERNATIONAL	77184	EMERAINVILLE	2 118 739 403 €
DALKIA	59350	Saint-AndrÃ©-lez-Lille	2 108 956 000 €
THALES SIX GTS FRANCE SAS	92230	GENNEVILLIERS	2 100 937 000 €
LYONNAISE DES EAUX FRANCE	92400	COURBEVOIE	2 088 666 603 €
NESTLE FRANCE	92130	ISSY LES MOULINEAUX	2 083 346 148 €
STEDIS	38400	ST MARTIN D HERES	2 077 562 549 €
CIE IBM FRANCE	92270	Bois-Colombes	2 068 000 000 €
FRAMATOME	92400	COURBEVOIE	2 065 726 000 €
COCA-COLA EUROPACIFIC PARTNERS FRANCE	92130	ISSY LES MOULINEAUX	2 064 328 969 €
DECATHLON	59650	VILLENEUVE D'ASCQ	2 048 622 000 €
ROQUETTE FRERES	62136	LESTREM	2 027 987 000 €
ACTION FRANCE	75019	PARIS 19	2 020 857 815 €
UNILEVER FRANCE	92500	Rueil-Malmaison	2 008 162 471 €
VEOLIA EAU - COMPAGNIE GENERALE DES EAUX	75008	PARIS 8	2 006 198 013 €
BRIQUETERIE LAMOUR	59119	WAZIERS	1 968 487 000 €
CHRISTIAN DIOR COUTURE	75008	PARIS 8	1 961 763 000 €
AIRBUS DEFENCE AND SPACE SAS	31400	TOULOUSE	1 951 016 000 €
FEDEX EXPRESS FR	69007	LYON 7EME	1 938 362 601 €
ARIANEGROUP SAS	75015	PARIS 15	1 937 338 000 €
SOCIETE VEHICULES AUTOMOBILES BATILLY	54980	BATILLY	1 892 855 716 €
GRTGAZ	92270	BOIS COLOMBES	1 877 177 456 €
FMC AUTOMOBILES	78100	SAINT GERMAIN EN LAYE	1 847 425 133 €
UNION INVIVO	75116	PARIS 16	1 809 024 958 €
SOCOPA VIANDES	29300	QUIMPERLE	1 800 631 806 €
SCC SA	92000	NANTERRE	1 783 062 529 €
VENTE PRIVEE.COM	93200	SAINT DENIS	1 781 348 943 €
SOCIETE DES PETROLES SHELL	92800	Puteaux	1 771 827 214 €
XPAGE GROUP	31130	BALMA	1 771 731 000 €
PICARD SURGELES	77300	FONTAINEBLEAU	1 770 112 576 €
THALES DMS FRANCE SAS	78990	ELANCOURT	1 759 628 000 €
TERRENA	44150	ANCENIS ST GEREON	1 757 017 537 €
ITM ALIMENTAIRE CENTRE OUEST	75015	PARIS 15	1 745 550 709 €
SANOFI-AVENTIS FRANCE	94250	GENTILLY	1 743 000 000 €
THALES LAS FRANCE SAS	78990	ELANCOURT	1 723 623 000 €
ITM ALIMENTAIRE NORD	75015	PARIS 15	1 720 287 093 €
DASSAULT SYSTEMES	78140	VELIZY VILLACOUBLAY	1 716 400 000 €
CARREFOUR SUPPLY CHAIN	14120	Mondeville	1 715 685 930 €
CARGILL FRANCE	92800	PUTEAUX	1 712 019 816 €
SOCIETE EUROPEENNE DE VEHICULES LEGERS DU NORD - SEVEL NORD	59111	LIEU ST AMAND	1 686 698 977 €
MONDELEZ FRANCE SAS	92140	CLAMART	1 685 103 012 €
PEUGEOT CITROEN MULHOUSE SNC	68390	SAUSHEIM	1 677 995 830 €
CHANTIERS DE L'ATLANTIQUE	44600	ST NAZAIRE	1 677 371 790 €
JPMORGAN ASSET MANAGEMENT (EUROPE) SARL	00000		1 672 417 052 €
GROUPE CANAL+ SA	92130	ISSY LES MOULINEAUX	1 665 000 000 €
CFM INTERNATIONAL	75015	PARIS 15	1 663 317 000 €
PROCTER & GAMBLE FRANCE	92600	ASNIERES SUR SEINE	1 652 124 747 €
IVECO FRANCE	69200	VENISSIEUX	1 652 083 912 €
M H C S	51200	EPERNAY	1 643 455 132 €
PEUGEOT CITROEN RENNES SNC	35131	CHARTRES DE BRETAGNE	1 638 334 733 €
SNCF MOBILITES	93200	SAINT DENIS	1 637 000 000 €
SOUFFLET NEGOCE	10400	NOGENT SUR SEINE	1 635 302 492 €
APRR	21850	ST APOLLINAIRE	1 633 200 000 €
ADEO SERVICES	59790	Ronchin	1 631 793 000 €
BOLLORE LOGISTICS	92800	Puteaux	1 629 714 271 €
SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'OUEST	44360	ST ETIENNE DE MONTLUC	1 629 384 032 €
NHINDUSTRIES	13290	AIX EN PROVENCE	1 623 808 473 €
PHOENIX PHARMA	94000	CRETEIL	1 621 711 809 €
DISTRIBUTION SANITAIRE CHAUFFAGE	60550	Verneuil-en-Halatte	1 605 420 249 €
CONFORAMA FRANCE	77185	LOGNES	1 601 474 000 €
BOUYGUES IMMOBILIER	92130	ISSY LES MOULINEAUX	1 600 764 180 €
SOCIETE COOPERATIVE D'APPROVISIONNEMENT PARIS-EST	51520	ST MARTIN SUR LE PRE	1 600 691 813 €
MSD FRANCE	92800	PUTEAUX	1 585 419 587 €
GE MEDICAL SYSTEMS	78530	Buc	1 584 289 273 €
IPSEN PHARMA	92100	BOULOGNE BILLANCOURT	1 567 000 000 €
AUCHAN ENERGIES	59650	VILLENEUVE D ASCQ	1 564 142 004 €
SANOFI-AVENTIS RECHERCHE ET DEVELOPPEMENT	91380	CHILLY MAZARIN	1 564 000 000 €
JACOBS DOUWE EGBERTS FR SAS	75010	PARIS 10	1 558 806 520 €
CARREFOUR STATIONS SERVICE	14120	MONDEVILLE	1 555 673 174 €
SOCIETE D'EDITION DE CANAL PLUS	92130	ISSY LES MOULINEAUX	1 542 000 000 €
ENI GAS & POWER FRANCE	92300	LEVALLOIS PERRET	1 528 726 191 €
DISTRIBUTION LEADER PRICE SNC	94400	VITRY SUR SEINE	1 525 543 404 €
FCA FRANCE	78190	TRAPPES	1 524 289 636 €
INGRAM MICRO	59810	LESQUIN	1 517 728 719 €
NEXANS FRANCE	92400	COURBEVOIE	1 516 638 226 €
DYNEFF S.A.S.	34000	Montpellier	1 516 581 611 €
SOPRA STERIA GROUP	74940	ANNECY	1 512 781 000 €
CERTAS ENERGY FRANCE	92500	RUEIL MALMAISON	1 507 796 957 €
SAFRAN LANDING SYSTEMS	78140	VELIZY VILLACOUBLAY	1 506 676 000 €
GEFCO FRANCE	92700	COLOMBES	1 506 663 000 €
GROUPE BIGARD	29300	QUIMPERLE	1 505 800 648 €
PARFUMS CHRISTIAN DIOR	75008	PARIS 8	1 504 063 311 €
SAGEMCOM BROADBAND SAS	92500	RUEIL MALMAISON	1 501 940 000 €
AIRBUS ATLANTIC	17300	ROCHEFORT	1 501 538 000 €
AEROPORTS DE PARIS	93290	TREMBLAY EN FRANCE	1 491 000 000 €
ETABLISSEMENTS DARTY ET FILS	93140	BONDY	1 475 569 435 €
TF1 PUBLICITE	92100	BOULOGNE BILLANCOURT	1 474 683 059 €
TRANSITYRE FRANCE SA	63000	CLERMONT FERRAND	1 465 810 199 €
SOCIETE JAS HENNESSY & Co	16100	COGNAC	1 458 837 195 €
ANTARGAZ	92400	COURBEVOIE	1 450 534 111 €
SOCAMAINE	72470	CHAMPAGNE	1 448 018 154 €
LECLERC APPROVIONNEMENT SUD	83340	LE LUC	1 446 084 834 €
TEMSYS	92110	CLICHY	1 441 899 458 €
ACCENTURE	75013	PARIS 13	1 437 550 972 €
SA EAUX MINERALES EVIAN	74500	Ã‰vian-les-Bains	1 435 602 974 €
SNCF GARES & CONNEXIONS	75013	PARIS 13	1 434 494 585 €
ARCELORMITTAL MEDITERRANEE	93210	ST DENIS	1 431 543 000 €
SCAPALSACE	68000	COLMAR	1 423 293 456 €
EURIAL LAIT	44300	NANTES	1 413 521 684 €
SAUR	92130	ISSY LES MOULINEAUX	1 413 428 849 €
TOTALENERGIES LUBRIFIANTS	92000	NANTERRE	1 405 993 430 €
SANOFI CHIMIE	94250	GENTILLY	1 405 000 000 €
JOHN DEERE SAS	45400	FLEURY LES AUBRAIS	1 401 362 000 €
EXXONMOBIL CHEMICAL FRANCE	92000	NANTERRE	1 398 483 413 €
TECHNIP ENERGIES FRANCE	92000	NANTERRE	1 396 300 000 €
SOCIETE COOPERATIVE D'APPROVISIONNEMENT RHONE ALPES	38280	Villette-d'Anthon	1 392 354 487 €
CNH INDUSTRIAL FRANCE	91150	MORIGNY CHAMPIGNY	1 391 197 870 €
TOTALENERGIES MARKETING AFRIQUE	92800	PUTEAUX	1 389 480 334 €
MAGASINS GALERIES LAFAYETTE	75009	PARIS 09	1 384 872 000 €
ALCATEL-LUCENT INTERNATIONAL	91620	NOZAY	1 370 898 000 €
MILLIPORE	67120	MOLSHEIM	1 370 467 217 €
EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION	67000	STRASBOURG	1 367 664 718 €
URBAINE DES PETROLES	92500	RUEIL MALMAISON	1 359 150 296 €
GALERIES LAFAYETTE HAUSSMANN - GL HAUSSMANN	75009	PARIS 9	1 345 805 000 €
CHANEL COORDINATION	75001	PARIS 01	1 343 559 206 €
SEPHORA	92200	NEUILLY SUR SEINE	1 343 243 313 €
BAYER SAS	69009	LYON 09	1 343 138 248 €
TEREOS FRANCE	02390	ORIGNY SAINTE BENOITE	1 343 085 606 €
PEUGEOT CITROEN PIECES DE RECHANGE	78140	VELIZY VILLACOUBLAY	1 342 104 426 €
BP FRANCE	95800	Cergy	1 341 000 000 €
SCHENKER FRANCE	85600	MONTAIGU VENDEE	1 332 727 062 €
SONAPRO	92100	BOULOGNE BILLANCOURT	1 326 192 094 €
BASF FRANCE SAS	92300	LEVALLOIS PERRET	1 324 244 451 €
BEL	92150	Suresnes	1 323 456 000 €
BOLLORE ENERGY	29500	ErguÃ©-GabÃ©ric	1 320 455 746 €
NISSAN WEST EUROPE	78180	MONTIGNY LE BRETONNEUX	1 317 731 000 €
LEGRAND SNC	87000	LIMOGES	1 316 676 000 €
SANEF	92130	ISSY LES MOULINEAUX	1 315 961 000 €
BOUYGUES BATIMENT ILE DE FRANCE	78280	GUYANCOURT	1 314 453 789 €
PFIZER	75014	PARIS 14	1 310 421 167 €
DANONE PRODUITS FRAIS FRANCE	92500	RUEIL MALMAISON	1 305 266 237 €
SICA SAS AXEREAL	45160	OLIVET	1 303 115 791 €
ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL	75015	PARIS 15	1 301 607 063 €
BIOMERIEUX SA	69280	MARCY L ETOILE	1 301 100 000 €
PRINTEMPS	75009	Paris 9e Arrondissement	1 300 503 314 €
INTERSPORT FRANCE	91160	LONGJUMEAU	1 287 264 121 €
ALPIQ ENERGIE FRANCE SAS	92200	NEUILLY SUR SEINE	1 286 814 523 €
SAFRAN HELICOPTER ENGINES	64510	BORDES	1 286 149 000 €
CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MODERE	75013	PARIS 13	1 284 000 000 €
HUAWEI TECHNOLOGIES FRANCE	92100	BOULOGNE BILLANCOURT	1 282 830 074 €
DISTRIDYN	94220	CHARENTON LE PONT	1 280 697 261 €
GAS NATURAL EUROPE	92400	COURBEVOIE	1 275 587 427 €
SAFRAN ELECTRONICS & DEFENSE	75015	PARIS 15	1 275 326 000 €
SOC DES ATELIERS LOUIS VUITTON	75001	PARIS 1	1 264 700 000 €
THALES AVS FRANCE SAS	33700	MERIGNAC	1 264 000 000 €
COOPERATIVE D'APPROVISIONNEMENT NORMANDE	14100	LISIEUX	1 262 623 440 €
FERRERO FRANCE COMMERCIALE	76130	MONT ST AIGNAN	1 260 990 815 €
ITM ALIMENTAIRE EST	75015	PARIS 15	1 259 157 891 €
SOUFFLET AGRICULTURE	10400	Nogent-sur-Seine	1 256 021 320 €
BECTON DICKINSON FRANCE	38800	LE PONT DE CLAIX	1 246 719 937 €
ADISSEO FRANCE S.A.S.	92160	ANTONY	1 244 097 460 €
ORANO CHIMIE-ENRICHISSEMENT	92320	CHATILLON	1 238 213 000 €
BOUYGUES TRAVAUX PUBLICS	78280	GUYANCOURT	1 235 257 576 €
SOC COOPERATIVE SOCAMIL	31170	TOURNEFEUILLE	1 234 807 300 €
HEINEKEN ENTREPRISE	92500	RUEIL MALMAISON	1 233 334 769 €
TRANSGOURMET OPERATIONS	94460	VALENTON	1 231 313 186 €
H&M HENNES & MAURITZ	75009	PARIS 09	1 223 927 088 €
PEPSICO FRANCE	92700	COLOMBES	1 213 810 392 €
COFIROUTE	92500	RUEIL MALMAISON	1 205 000 000 €
BRISTOL MYERS SQUIBB	92500	RUEIL MALMAISON	1 196 319 752 €
SAFRAN NACELLES	76700	GONFREVILLE L ORCHER	1 194 171 000 €
SUPERMARCHES MATCH	59110	LA MADELEINE	1 189 945 962 €
SCA FRUITS LEGUMES FLEURS	75015	Paris 15e Arrondissement	1 188 666 599 €
GE ENERGY PRODUCTS FRANCE SNC	90000	BELFORT	1 181 121 063 €
ARVAL SERVICE LEASE	75009	Paris 9e Arrondissement	1 178 869 795 €
EIFFAGE TP	93330	NEUILLY SUR MARNE	1 176 343 577 €
SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE LA REGION DE L'ARTOIS	62217	TILLOY LES MOFFLAINES	1 176 240 142 €
COMPAGNIE NATIONALE DU RHONE	69004	LYON 04	1 170 282 000 €
JANSSEN CILAG	92130	ISSY LES MOULINEAUX	1 168 019 799 €
BRAKE FRANCE SERVICE	69760	LIMONEST	1 166 407 794 €
CANDIA	75014	PARIS 14	1 166 143 888 €
CRISTALCO	75116	PARIS 16	1 149 927 696 €
BAYER HEALTHCARE SAS	59120	LOOS	1 148 377 973 €
HACHETTE LIVRE	92170	VANVES	1 132 698 000 €
CGI FRANCE	92400	COURBEVOIE	1 128 722 208 €
WOREX SNC	78230	LE PECQ	1 127 213 024 €
CRISTAL UNION	10700	VILLETTE SUR AUBE	1 105 325 507 €
VINCI CONSTRUCTION GRANDS PROJETS	92500	RUEIL MALMAISON	1 104 288 891 €
MARTIN-BROWER FRANCE SAS	91090	LISSES	1 103 405 934 €
TOTALENERGIES EP ANGOLA	92400	COURBEVOIE	1 099 893 398 €
MANITOU BF	44150	ANCENIS ST GEREON	1 098 335 824 €
GROUPE MOBALI-BANDA	00000	14583 BRAZZAVILLE	1 098 302 227 €
AMUNDI ASSET MANAGEMENT	75015	PARIS 15	1 097 889 000 €
SFR FIBRE SAS	77420	LOGNES	1 097 140 667 €
ALTRAN TECHNOLOGIES	75116	PARIS 16	1 097 099 785 €
ENTREMONT ALLIANCE	74000	ANNECY	1 095 853 900 €
SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'ILE DE FRANCE	77176	SAVIGNY LE TEMPLE	1 094 652 358 €
GAZELENERGIE SOLUTIONS	92400	COURBEVOIE	1 077 893 050 €
SAP FRANCE	92300	LEVALLOIS PERRET	1 069 345 661 €
PICOTY	23300	LA SOUTERRAINE	1 067 817 104 €
ROCHE	92100	BOULOGNE BILLANCOURT	1 061 370 185 €
TELEVISION FRANCAISE 1	92100	BOULOGNE BILLANCOURT	1 060 000 000 €
KERMENE	22330	LE MENE	1 055 770 571 €
DIAC LOCATION	93160	NOISY LE GRAND	1 054 981 000 €
ROYAL CANIN SAS	30470	Aimargues	1 049 749 617 €
BNP PARIBAS ASSET MANAGEMENT FRANCE	75009	PARIS 09	1 045 925 589 €
RHODIA OPERATIONS	93300	AUBERVILLIERS	1 045 630 026 €
ESSITY FRANCE	93400	ST OUEN SUR SEINE	1 045 198 095 €
LENOVO FRANCE SAS	92500	Rueil-Malmaison	1 035 554 457 €
AUCHAN CARBURANT	59170	CROIX	1 034 232 521 €
CIRCET	83210	SOLLIES PONT	1 026 858 024 €
ZARA FRANCE	75012	PARIS 12	1 024 916 075 €
GRENKE LOCATION	67300	SCHILTIGHEIM	1 023 228 988 €
KUWAIT PETROLEUM AVIATION FRANCE SAS	75017	Paris 17e Arrondissement	1 022 322 637 €
CREDIT AGRICOLE-GROUP INFRASTRUCTURE PLATFORM	75015	PARIS 15	1 017 971 580 €
NESTLE WATERS MARKETING & DISTRIBUTION	92130	Issy-les-Moulineaux	1 015 049 027 €
KPMG	92400	Courbevoie	1 011 073 151 €
LACTALIS FROMAGES	53810	CHANGE	1 004 418 654 €
ALTICE FRANCE	75015	PARIS 15	999 028 000 €
AREVA MINES	92400	COURBEVOIE	997 298 000 €
SYNGENTA FRANCE SAS	31790	SAINT SAUVEUR	996 738 872 €
VIVESCIA	51100	REIMS	993 191 000 €
EURO DISNEY ASSOCIES SAS	77700	CHESSY	992 000 000 €
EUTELSAT S.A.	92130	ISSY LES MOULINEAUX	990 310 297 €
ELECTRO DEPOT FRANCE	59155	FACHES THUMESNIL	988 525 430 €
AIR LIQUIDE FRANCE INDUSTRIE	75007	PARIS 07	987 723 000 €
SOC CENTRALE APPROVISIONNEMENT ARMORIQUE	29800	Landerneau	986 258 435 €
ARIANESPACE	91000	EVRY COURCOURONNES	982 460 193 €
CRIT	75017	Paris 17e Arrondissement	981 819 968 €
MAISON JOHANES BOUBEE	33300	BORDEAUX	973 745 945 €
AUCHAN RETAIL AGRO	59650	Villeneuve-d'Ascq	973 415 365 €
FNAC DIRECT	94200	IVRY SUR SEINE	970 443 598 €
KIABI EUROPE	59510	HEM	968 458 692 €
GIFI MAG	47300	VILLENEUVE SUR LOT	966 610 777 €
ORPEA	92800	PUTEAUX	965 500 629 €
CARREFOUR IMPORT	91300	MASSY	964 312 914 €
CONSTELLIUM NEUF BRISACH	68600	BIESHEIM	958 524 691 €
TOUTON SA	33300	BORDEAUX	958 241 896 €
LECUREUR SA	75001	PARIS 1	954 840 164 €
MAISONS DU MONDE FRANCE	44120	VERTOU	945 580 083 €
TOTALENERGIES PROXI NORD EST	54320	MAXEVILLE	943 704 316 €
SIEMENS S.A.S	93210	Saint-Denis	942 755 415 €
BIOCOOP	75116	PARIS 16	930 725 748 €
YVES SAINT LAURENT	75007	PARIS 07	928 586 463 €
EG RETAIL (FRANCE) SAS	95800	CERGY	927 054 220 €
SYNERGIE	75016	Paris 16e Arrondissement	924 514 253 €
ELIVIA	44150	ANCENIS ST GEREON	922 685 334 €
TOTALENERGIES PROXI NORD OUEST	44100	NANTES	922 271 965 €
VIATRIS SANTE	69007	LYON 07	917 863 014 €
TUI FRANCE	92300	LEVALLOIS PERRET	917 150 480 €
TOTAL ENERGIE GAZ	92400	COURBEVOIE	916 977 365 €
AGCO DISTRIBUTION S.A.S.	60000	Beauvais	916 952 870 €
IMMOBILIERE 3F	75013	Paris 13e Arrondissement	915 216 000 €
PIERRE FABRE MEDICAMENT	92100	BOULOGNE BILLANCOURT	912 337 415 €
APERAM STAINLESS FRANCE	93210	SAINT DENIS	911 829 203 €
SNETOR OVERSEAS	92400	COURBEVOIE	910 332 397 €
SOC COOP APPROVISIONNEMENT PARIS NORD	95820	BRUYERES SUR OISE	909 897 011 €
GUY DAUPHIN ENVIRONNEMENT	14540	CASTINE EN PLAINE	907 248 868 €
ESSILOR INTERNATIONAL	94220	CHARENTON LE PONT	906 000 000 €
CHRONOPOST	75014	PARIS 14	903 972 000 €
